accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.605,95.002917568,67.98236073532122,0.3347929862977862,9.350100871,75.029233,10.623583697,67.64756774902344,4.815903186798096,1.7000000476837158,4.47599983215332,82.7,588.025390625,11,139.23946152965215,cloud,1800,0,off,True
0.603,426.359101527,2.404140990194559,2.404140990194559,426.359091657,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,11,139.23946152965215,edge,1800,22,max,False
0.603,434.260499585,2.409649661929607,2.409649661929607,434.260489474,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,11,139.23946152965215,energy,800,22,std,False
0.603,426.274894506,2.406173069327211,2.406173069327211,426.274885358,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,2,1532.6243226141037,edge,1800,22,max,False
0.603,426.223953804,2.4178327867120384,2.4178327867120384,426.223944064,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3,2738.347089400668,edge,1800,22,max,False
0.603,434.528850674,2.4163368350146293,2.4163368350146293,434.528838859,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3,2738.347089400668,energy,800,22,std,False
0.605,106.688083025,73.01233940690263,0.3395870265315294,10.84952759,78.0215,17.817055435000015,72.6727523803711,4.968887805938721,1.7000000476837158,4.322999954223633,93.5,588.025390625,11,139.23946152965215,latency,1200,0,off,True
0.609,128.104275234,69.80701781243505,0.667560109798324,49.790659934,74.920091,3.39352430000001,69.13945770263672,4.471767902374268,1.7000000476837158,0.9959999918937684,29.4,98.0244140625,11,139.23946152965215,splinter:latency,1600,17,max,True
0.605,97.840725684,73.06318796851993,0.3441861985003949,8.780218648,78.456709,10.603798036,72.71900177001953,5.006910800933838,1.7000000476837158,4.296999931335449,88.2,588.025390625,12,1117.4684480453138,cloud,1800,0,off,True
0.603,426.52849143300006,2.413522761879181,2.413522761879181,426.528482507,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,12,1117.4684480453138,edge,1800,22,max,False
0.603,433.691677035,2.409216009844816,2.409216009844816,433.691667998,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,12,1117.4684480453138,energy,800,22,std,False
0.605,103.713460873,73.43036582366281,0.3306954135065555,10.778394616,78.815344,14.119722257000006,73.09967041015625,5.028741836547852,1.7000000476837158,4.298999786376953,94.0,588.025390625,12,1117.4684480453138,latency,1200,0,off,True
0.603,444.509599926,2.232821098768699,2.232821098768699,444.509586518,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,12,1117.4684480453138,splinter:latency,800,22,std,False
0.605,98.265086998,73.03749263622898,0.3447970185531974,9.30122414,78.104799,10.859063858,72.69269561767578,4.981354236602783,1.7000000476837158,4.320000171661377,83.0,588.025390625,13,314.1531076047635,cloud,1800,0,off,True
0.603,426.093382727,2.4174375905367134,2.4174375905367134,426.093373005,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,13,314.1531076047635,edge,1800,22,max,False
0.603,434.218136494,2.413974688428736,2.413974688428736,434.218127068,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13,314.1531076047635,energy,800,22,std,False
0.605,100.199536615,73.71036446769945,0.3197013207267999,10.729045436,79.072547,10.397944178999992,73.39066314697266,5.049831867218018,1.7000000476837158,4.277999877929688,94.6,588.025390625,13,314.1531076047635,latency,1200,0,off,True
0.609,129.745646593,71.48749845507494,0.6762496757780672,49.808816565,76.324563,3.612267028000005,70.81124877929688,4.5565361976623535,1.7000000476837158,0.9950000047683716,29.4,98.0244140625,13,314.1531076047635,splinter:latency,1600,17,max,True
0.605,99.007959147,73.72209659702297,0.348088418312037,8.834085378000001,79.009482,11.164391768999993,73.37400817871094,5.038610935211182,1.7000000476837158,4.269999980926514,88.0,588.025390625,14,395.4955854322002,cloud,1800,0,off,True
0.603,425.720661693,2.407980802773023,2.407980802773023,425.720651341,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,14,395.4955854322002,edge,1800,22,max,False
0.603,433.692948613,2.4064434206676726,2.4064434206676726,433.692936391,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,14,395.4955854322002,energy,800,22,std,False
0.605,100.679524,73.63262092918312,0.3206855043784261,10.64349005,79.480104,10.555929950000008,73.31193542480469,5.067608833312988,1.600000023841858,4.235000133514404,95.8,588.025390625,14,395.4955854322002,latency,1200,0,off,True
0.609,130.053611857,71.15955373701634,0.6780855363327503,49.860826786,76.402353,3.790432070999998,70.4814682006836,4.560983180999756,1.7000000476837158,0.996999979019165,29.1,98.0244140625,14,395.4955854322002,splinter:latency,1600,17,max,True
0.605,99.054884649,73.62600512637722,0.3489894403420686,10.546871758,78.655979,9.852033891000003,73.27701568603516,5.017693996429443,1.7000000476837158,4.289999961853027,76.6,588.025390625,15,90.60000000000012,cloud,1800,0,off,True
0.603,426.636117842,2.4163769367831462,2.4163769367831462,426.636108009,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,15,90.60000000000012,edge,1800,22,max,False
0.603,433.844314214,2.408575147595632,2.408575147595632,433.844304788,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,15,90.60000000000012,energy,800,22,std,False
0.605,110.314517711,73.26061074032249,0.3490430523342132,20.927106911,78.860347,10.527063799999992,72.91156768798828,5.017128944396973,1.7000000476837158,4.285999774932861,93.8,588.025390625,15,90.60000000000012,latency,1200,0,off,True
0.605,108.579257157,71.96432851163387,0.3429524740362167,20.917589081,77.381407,10.280261076000002,71.62137603759766,4.945127964019775,1.7000000476837158,4.366000175476074,93.8,588.025390625,15,90.60000000000012,splinter:latency,1200,0,off,True
0.605,98.917461728,73.44370755554877,0.3461886346503257,8.697258678999999,78.632756,11.587447049000003,73.09751892089844,5.0083489418029785,1.7000000476837158,4.289999961853027,88.9,588.025390625,16,290.2637757152884,cloud,1800,0,off,True
0.603,425.701829935,2.409196600279105,2.409196600279105,425.701820213,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,16,290.2637757152884,edge,1800,22,max,False
0.603,434.391642332,2.416783923305392,2.416783923305392,434.391633036,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16,290.2637757152884,energy,800,22,std,False
0.605,99.023725762,72.83835025606069,0.3163318234435081,10.656519049,77.989273,10.377933713000004,72.52201843261719,4.974580764770508,1.7000000476837158,4.328000068664551,94.9,588.025390625,16,290.2637757152884,latency,1200,0,off,True
0.603,425.562933019,2.4205735748996258,2.4205735748996258,425.56292363,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,17,638.157799522766,edge,1800,22,max,False
0.603,434.064658455,2.409671065664172,2.409671065664172,434.064646659,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,17,638.157799522766,energy,800,22,std,False
0.603,444.160377957,2.235124618041062,2.235124618041062,444.160364254,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,17,638.157799522766,splinter:latency,800,22,std,False
0.603,425.651903764,2.41952878921752,2.41952878921752,425.651895079,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,18,4292.107363380819,edge,1800,22,max,False
0.603,434.141927397,2.409372158169257,2.409372158169257,434.141917952,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,18,4292.107363380819,energy,800,22,std,False
0.605,99.957447546,67.13418827315003,0.4634576823297143,9.952229959,73.933786,16.071431587000006,66.67073059082031,4.77443790435791,1.7000000476837158,4.539999961853027,77.2,588.025390625,17,638.157799522766,cloud,1800,0,off,True
0.605,95.387942976,67.62404617070521,0.4086988806661487,10.822338405,74.565137,10.000467571,67.21534729003906,4.7954840660095215,1.7000000476837158,4.51800012588501,93.9,588.025390625,17,638.157799522766,latency,1200,0,off,True
0.605,94.898701981,68.46307055516587,0.4381987289939999,8.576787753,74.888297,11.433617228000005,68.02487182617188,4.824221134185791,1.7000000476837158,4.482999801635742,89.4,588.025390625,18,4292.107363380819,cloud,1800,0,off,True
0.605,96.883630449,68.90008891580632,0.4142338132672548,10.790694995,75.820621,10.272314453999996,68.48585510253906,4.880289077758789,1.7000000476837158,4.434000015258789,95.3,588.025390625,18,4292.107363380819,latency,1200,0,off,True
0.605,96.35128499,68.69503677919027,0.4321659906160592,10.553940191,75.71632,10.081024799000003,68.26287078857422,4.873318195343018,1.7000000476837158,4.454999923706055,86.8,588.025390625,19,335.90474854516646,cloud,1800,0,off,True
0.605,106.678304767,68.83487462510601,0.4408087681724191,20.917894852000003,75.792972,9.96743791499999,68.3940658569336,4.880919933319092,1.7000000476837158,4.447000026702881,93.1,588.025390625,19,335.90474854516646,latency,1200,0,off,True
0.605,95.984400188,68.39397052665339,0.4315758122979164,10.603176233,75.010678,10.370545954999995,67.96239471435547,4.832208156585693,1.600000023841858,4.486000061035156,86.3,588.025390625,20,4144.751286453051,cloud,1800,0,off,True
0.605,97.317100205,69.48425407046666,0.4043209039627552,10.786745322,75.946854,10.583500883,69.0799331665039,4.8899760246276855,1.7000000476837158,4.436999797821045,95.3,588.025390625,20,4144.751286453051,latency,1200,0,off,True
0.605,97.234749406,71.04584747522712,0.4353585836255551,9.337321438,77.654231,10.243196968000008,70.61048889160156,4.996993064880371,1.7000000476837158,4.340000152587891,84.2,588.025390625,21,1010.9222741987492,cloud,1800,0,off,True
0.605,100.233785495,68.7964921184742,0.4157548137867093,10.732016336,75.769863,13.731906159000005,68.3807373046875,4.882339954376221,1.7000000476837158,4.448999881744385,93.9,588.025390625,21,1010.9222741987492,latency,1200,0,off,True
0.605,98.812475273,71.00408993433341,0.4423452443920016,10.556757013,78.004635,10.251083260000016,70.5617446899414,5.011322975158691,1.7000000476837158,4.3429999351501465,87.2,588.025390625,22,630.9069797820829,cloud,1800,0,off,True
0.605,97.965563408,69.55296722114628,0.4065743988806486,10.79377987,76.686045,10.48573853800002,69.14639282226562,4.929577827453613,1.7000000476837158,4.401000022888184,95.3,588.025390625,22,630.9069797820829,latency,1200,0,off,True
0.605,95.995503967,69.24023134571301,0.43037111622082,9.40624869,76.10475,10.484505276999997,68.80986022949219,4.895798206329346,1.7000000476837158,4.409999847412109,82.6,588.025390625,23,4465.410581309505,cloud,1800,0,off,True
0.605,109.43406574,71.31049055171997,0.450764599571526,20.891682246,78.406424,10.13595949399999,70.85972595214844,5.032709121704102,1.7000000476837158,4.289000034332275,94.4,588.025390625,23,4465.410581309505,latency,1200,0,off,True
0.605,99.288224663,70.52812796008278,0.4439223326413751,10.589698731,77.792604,10.905921932000012,70.0842056274414,4.99364185333252,1.600000023841858,4.328999996185303,87.6,588.025390625,24,1141.8136648351742,cloud,1800,0,off,True
0.605,98.098563806,69.92118951151177,0.4073955661992669,10.912581223,76.898089,10.287893583,69.5137939453125,4.942646026611328,1.7000000476837158,4.377999782562256,93.7,588.025390625,24,1141.8136648351742,latency,1200,0,off,True
0.605,95.581620757,69.02105182065912,0.4287361468309998,8.96388567,76.204826,10.412909087000005,68.59231567382812,4.906414031982422,1.7000000476837158,4.413000106811523,87.2,588.025390625,25,1381.5929729653594,cloud,1800,0,off,True
0.605,107.860347976,69.81720460656035,0.4457522750173807,20.931170152,76.564194,10.364983823999992,69.37145233154297,4.9323811531066895,1.7000000476837158,4.395999908447266,89.9,588.025390625,25,1381.5929729653594,latency,1200,0,off,True
0.605,97.250411476,71.63255050769753,0.4356663524240971,8.598187771,78.595076,10.057147704999991,71.19688415527344,5.039356231689453,1.7000000476837158,4.302999973297119,90.4,588.025390625,26,3124.2707232798884,cloud,1800,0,off,True
0.605,96.791235285,69.28610227797424,0.4023666212359548,10.575962664,76.484647,9.730625621000002,68.88373565673828,4.924315929412842,1.7000000476837158,4.40399980545044,95.3,588.025390625,26,3124.2707232798884,latency,1200,0,off,True
0.605,96.855891093,70.79941117870042,0.4336656342668294,8.675240372,77.924768,10.255882720999992,70.3657455444336,5.020530223846436,1.7000000476837158,4.3470001220703125,88.2,588.025390625,27,1620.2976772064394,cloud,1800,0,off,True
0.605,97.715703977,69.83396419343264,0.4059246426513791,10.767906969,76.439895,10.507902008000002,69.42803955078125,4.923781871795654,1.7000000476837158,4.409999847412109,96.0,588.025390625,27,1620.2976772064394,latency,1200,0,off,True
0.605,102.7317958,69.6765713182244,0.4589580980095625,10.06327037,76.526801,16.141724429999996,69.21761322021484,4.929381847381592,1.7000000476837158,4.40500020980835,76.8,588.025390625,28,2719.140428187633,cloud,1800,0,off,True
0.605,105.053453755,72.31029121306881,0.4348792257641196,10.651013641,78.894157,15.50828311399998,71.87541198730469,5.068892002105713,1.7000000476837158,4.285999774932861,95.7,588.025390625,28,2719.140428187633,latency,1200,0,off,True
0.605,96.405033445,69.9405687922386,0.4320314997581244,8.849122543,76.514545,11.041365901999995,69.50853729248047,4.92353105545044,1.7000000476837158,4.415999889373779,87.3,588.025390625,29,1993.0224787557224,cloud,1800,0,off,True
0.605,98.924815636,70.64723514976087,0.4101517147022843,10.808972858,77.575471,10.540371778000008,70.2370834350586,4.992617130279541,1.7000000476837158,4.34499979019165,94.0,588.025390625,29,1993.0224787557224,latency,1200,0,off,True
0.605,98.579959225,70.99019443779568,0.4408627727566123,9.331650198,78.394075,10.85423402699999,70.54933166503906,5.046367168426514,1.7000000476837158,4.288000106811523,83.3,588.025390625,30,428.3201012301792,cloud,1800,0,off,True
0.605,96.159163855,68.65123322000215,0.3999133347482442,10.757354784,75.691509,9.710300071000006,68.2513198852539,4.888279914855957,1.7000000476837158,4.448999881744385,94.5,588.025390625,30,428.3201012301792,latency,1200,0,off,True
0.605,96.863713152,71.34741167230334,0.4351344506236553,8.873430004000001,77.91207,10.078213147999987,70.91227722167969,5.004191875457764,1.7000000476837158,4.330999851226807,87.7,588.025390625,31,513.3462952224331,cloud,1800,0,off,True
0.605,98.996329128,70.37015078250678,0.4111511487177252,11.335062915,77.195918,10.465348213,69.95899963378906,4.97727108001709,1.7000000476837158,4.355000019073486,90.1,588.025390625,31,513.3462952224331,latency,1200,0,off,True
0.605,97.431346782,68.85592084234955,0.4357395679354787,9.090422959,75.756051,12.584872822999998,68.42018127441406,4.891126155853272,1.7000000476837158,4.443999767303467,84.6,588.025390625,32,397.0850656676463,cloud,1800,0,off,True
0.609,160.023602695,67.57125414019758,0.8160508931272745,82.289533193,74.257203,3.476866501999993,66.75520324707031,4.468254089355469,1.7000000476837158,0.9959999918937684,25.1,98.0244140625,16,290.2637757152884,splinter:latency,1600,17,max,True
0.603,443.5403510210001,2.2281326231296417,2.2281326231296417,443.540338465,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,18,4292.107363380819,splinter:latency,800,22,std,False
0.603,433.948543992,2.4021049027768013,2.4021049027768013,433.948534047,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,19,335.90474854516646,energy,800,22,std,False
0.609,125.577557765,65.57609507703505,0.6616968836756706,49.87965428,72.325768,3.372135484999987,64.91439819335938,4.3513288497924805,1.7000000476837158,0.9959999918937684,29.1,98.0244140625,19,335.90474854516646,splinter:latency,1600,17,max,True
0.603,426.577311018,2.417781671127057,2.417781671127057,426.577300944,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,20,4144.751286453051,edge,1800,22,max,False
0.603,434.162330296,2.413101794613933,2.413101794613933,434.162320667,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,20,4144.751286453051,energy,800,22,std,False
0.603,434.030310098,2.4076849361192467,2.4076849361192467,434.03030095,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,20,4144.751286453051,splinter:latency,800,22,std,False
0.603,433.242405973,2.4069310269034503,2.4069310269034503,433.242395825,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,21,1010.9222741987492,energy,800,22,std,False
0.603,434.015056744,2.4079362301984903,2.4079362301984903,434.015046077,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,21,1010.9222741987492,splinter:latency,800,22,std,False
0.603,434.044522832,2.4080297253374456,2.4080297253374456,434.044512054,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,22,630.9069797820829,energy,800,22,std,False
0.603,433.684754129,2.4082156548452023,2.4082156548452023,433.684743425,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,22,630.9069797820829,splinter:latency,800,22,std,False
0.603,434.459154273,2.413351981453335,2.413351981453335,434.45914368,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,23,4465.410581309505,energy,800,22,std,False
0.603,434.720133682,2.418426550108111,2.418426550108111,434.720123979,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,23,4465.410581309505,splinter:latency,800,22,std,False
0.603,435.172435972,2.4230715516858936,2.4230715516858936,435.17242625,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,24,1141.8136648351742,energy,800,22,std,False
