timestamp,value,total_time
1701363017.106525,5.7844,15.038756934
1701363020.390512,4.4632,15.038756934
1701363021.395153,6.6472,15.038756934
1701363022.399931,6.6231,15.038756934
1701363023.405718,6.7414,15.038756934
1701363024.411723,6.6224,15.038756934
1701363025.4171,6.6737,15.038756934
1701363026.421457,6.6287,15.038756934
1701363027.428415,6.6578,15.038756934
1701363028.433209,6.7964,15.038756934
1701363029.436837,6.701,15.038756934
1701363030.442105,6.7492,15.038756934
1701363031.44778,6.6919,15.038756934
