timestamp,value,total_time
1700665260.528672,3.5806,197.437628438
1700665265.344372,3.3665,197.437628438
1700665266.348917,3.8603,197.437628438
1700665267.353422,4.4666,197.437628438
1700665268.357915,3.8431,197.437628438
1700665269.362331,4.2818,197.437628438
1700665270.42602,3.8933,197.437628438
1700665271.430488,3.768,197.437628438
1700665272.435815,4.0841,197.437628438
1700665273.440292,3.757,197.437628438
1700665274.445653,4.2595,197.437628438
1700665275.450253,3.832,197.437628438
1700665276.455461,4.3066,197.437628438
1700665277.45993,3.8476,197.437628438
1700665278.464378,4.5273,197.437628438
1700665279.505539,4.5368,197.437628438
1700665280.510092,4.6577,197.437628438
1700665281.514554,3.8262,197.437628438
1700665282.519108,4.5162,197.437628438
1700665283.523541,4.4134,197.437628438
1700665284.52955,4.7529,197.437628438
1700665285.534142,4.4101,197.437628438
1700665286.539828,4.5474,197.437628438
1700665287.544475,4.3187,197.437628438
1700665288.550289,4.531,197.437628438
1700665289.554966,4.9978,197.437628438
1700665290.560584,5.087,197.437628438
1700665291.564536,4.8043,197.437628438
1700665292.625928,4.4938,197.437628438
1700665293.63054,4.5052,197.437628438
1700665294.635786,3.8023,197.437628438
1700665295.640529,3.7966,197.437628438
1700665296.64636,4.2112,197.437628438
1700665297.650893,4.3729,197.437628438
1700665298.656438,4.526,197.437628438
1700665299.660965,4.0158,197.437628438
1700665300.66624,3.8833,197.437628438
1700665301.71033,3.7725,197.437628438
1700665302.71577,3.9992,197.437628438
1700665303.720276,3.8226,197.437628438
1700665304.725421,4.4031,197.437628438
1700665305.729975,4.4019,197.437628438
1700665306.735715,4.7342,197.437628438
1700665307.740381,4.7624,197.437628438
1700665308.744571,4.9999,197.437628438
1700665309.749926,4.8031,197.437628438
1700665310.754797,4.4633,197.437628438
1700665311.760752,4.8265,197.437628438
1700665312.765855,5.0978,197.437628438
1700665313.827288,4.683,197.437628438
1700665314.831954,3.8093,197.437628438
1700665315.83748,4.3244,197.437628438
1700665316.842395,4.2808,197.437628438
1700665317.847939,4.6742,197.437628438
1700665318.85276,4.4998,197.437628438
1700665319.858332,4.3279,197.437628438
1700665320.86299,3.9146,197.437628438
1700665321.910565,4.3776,197.437628438
1700665322.915089,3.916,197.437628438
1700665323.919582,4.1851,197.437628438
1700665324.924907,3.7816,197.437628438
1700665325.929453,3.8752,197.437628438
1700665326.93483,3.9172,197.437628438
1700665327.939367,3.7979,197.437628438
1700665328.944942,4.1408,197.437628438
1700665329.9495,3.8261,197.437628438
1700665330.954929,4.3247,197.437628438
1700665331.959468,3.8744,197.437628438
1700665332.965036,4.3261,197.437628438
1700665334.025315,3.8802,197.437628438
1700665335.030869,4.331,197.437628438
1700665336.03547,3.8973,197.437628438
1700665337.040007,4.0779,197.437628438
1700665338.04455,3.9099,197.437628438
1700665339.049132,3.9116,197.437628438
1700665340.054514,3.9172,197.437628438
1700665341.059139,3.7891,197.437628438
1700665342.064558,4.3337,197.437628438
1700665343.110577,3.8144,197.437628438
1700665344.116047,4.3214,197.437628438
1700665345.120584,3.8612,197.437628438
1700665346.126128,4.0504,197.437628438
1700665347.130711,3.8514,197.437628438
1700665348.13622,4.3333,197.437628438
1700665349.140856,3.8913,197.437628438
1700665350.146429,4.3288,197.437628438
1700665351.151116,3.8854,197.437628438
1700665352.15556,4.1744,197.437628438
1700665353.160109,3.9278,197.437628438
1700665354.16457,4.2637,197.437628438
1700665355.228334,4.0982,197.437628438
1700665356.232879,3.8187,197.437628438
1700665357.238336,4.3373,197.437628438
1700665358.242821,3.8467,197.437628438
1700665359.248308,4.3627,197.437628438
1700665360.252238,3.8726,197.437628438
1700665361.257727,4.3342,197.437628438
1700665362.262306,4.0427,197.437628438
1700665363.267687,4.3259,197.437628438
1700665364.311626,3.9153,197.437628438
1700665365.31613,4.3503,197.437628438
1700665366.320761,3.9059,197.437628438
1700665367.325291,4.2976,197.437628438
1700665368.330435,3.7245,197.437628438
1700665369.33495,4.0125,197.437628438
1700665370.340451,3.9149,197.437628438
1700665371.344999,3.7961,197.437628438
1700665372.350475,4.1059,197.437628438
1700665373.354996,3.8057,197.437628438
1700665374.360463,4.2955,197.437628438
1700665375.365043,3.8571,197.437628438
1700665376.427834,4.3403,197.437628438
1700665377.432421,3.8862,197.437628438
1700665378.43805,4.2973,197.437628438
1700665379.442654,3.9284,197.437628438
1700665380.447138,4.2898,197.437628438
1700665381.451705,3.905,197.437628438
1700665382.456206,4.0044,197.437628438
1700665383.461618,3.91,197.437628438
1700665384.466137,3.7008,197.437628438
1700665385.512466,4.1211,197.437628438
1700665386.517106,3.8212,197.437628438
1700665387.522458,4.3139,197.437628438
1700665388.52708,4.0163,197.437628438
1700665389.532464,4.3535,197.437628438
1700665390.537196,3.8836,197.437628438
1700665391.542557,4.3132,197.437628438
1700665392.547238,3.8826,197.437628438
1700665393.553386,4.1391,197.437628438
1700665394.557951,3.9017,197.437628438
1700665395.562425,4.3356,197.437628438
1700665396.566969,3.8629,197.437628438
1700665397.628523,3.8023,197.437628438
1700665398.634102,4.0985,197.437628438
1700665399.638585,3.8114,197.437628438
1700665400.644068,4.302,197.437628438
1700665401.6486,3.8425,197.437628438
1700665402.654163,4.3545,197.437628438
1700665403.658686,3.8889,197.437628438
1700665404.664144,4.3417,197.437628438
1700665405.711752,3.9121,197.437628438
1700665406.717493,4.3305,197.437628438
1700665407.722087,3.8987,197.437628438
1700665408.726602,4.3355,197.437628438
1700665409.731154,3.9162,197.437628438
1700665410.735636,4.3104,197.437628438
1700665411.740973,3.913,197.437628438
1700665412.745629,3.9942,197.437628438
1700665413.75102,3.9228,197.437628438
1700665414.755639,3.8052,197.437628438
1700665415.76125,4.1016,197.437628438
1700665416.765784,3.8167,197.437628438
1700665417.834004,4.3417,197.437628438
1700665418.83866,3.8926,197.437628438
1700665419.844099,4.3365,197.437628438
1700665420.848869,3.9005,197.437628438
1700665421.854509,4.3466,197.437628438
1700665422.859103,3.9045,197.437628438
1700665423.863641,4.3139,197.437628438
1700665424.868272,3.9258,197.437628438
1700665425.913098,4.0166,197.437628438
1700665426.91857,3.9084,197.437628438
1700665427.923124,3.8267,197.437628438
1700665428.928589,4.1093,197.437628438
1700665429.933132,3.8286,197.437628438
1700665430.938602,4.3298,197.437628438
1700665431.94313,3.8357,197.437628438
1700665432.948477,4.3391,197.437628438
1700665433.953236,3.891,197.437628438
1700665434.958721,4.3379,197.437628438
1700665435.963309,3.8962,197.437628438
1700665436.969015,4.3279,197.437628438
1700665438.027272,3.9248,197.437628438
1700665439.031709,4.1036,197.437628438
1700665440.036864,3.9115,197.437628438
1700665441.041362,3.7644,197.437628438
1700665442.046861,3.9967,197.437628438
1700665443.05136,3.8084,197.437628438
1700665444.056695,4.2411,197.437628438
1700665445.061261,3.8357,197.437628438
1700665446.066585,4.3401,197.437628438
1700665447.112999,3.8875,197.437628438
1700665448.118356,4.3571,197.437628438
1700665449.122927,3.9085,197.437628438
1700665450.128223,4.3432,197.437628438
1700665451.132841,3.8939,197.437628438
1700665452.137409,4.3466,197.437628438
1700665453.141904,3.9181,197.437628438
1700665454.146424,4.3222,197.437628438
1700665455.151508,3.9323,197.437628438
1700665456.155956,4.0143,197.437628438
1700665457.161452,3.9083,197.437628438
