timestamp,value,total_time
1700665170.108383,3.5204,54.25271385
1700665171.824059,3.3907,54.25271385
1700665172.829515,3.8565,54.25271385
1700665173.834281,3.8554,54.25271385
1700665174.838756,3.8167,54.25271385
1700665175.843266,3.5073,54.25271385
1700665176.847731,3.8984,54.25271385
1700665177.852349,3.9305,54.25271385
1700665178.856925,4.0128,54.25271385
1700665179.861451,4.0282,54.25271385
1700665180.908576,3.9658,54.25271385
1700665181.913187,3.8434,54.25271385
1700665182.917698,3.8469,54.25271385
1700665183.923085,3.8474,54.25271385
1700665184.928718,3.8261,54.25271385
1700665185.93355,3.7895,54.25271385
1700665186.938192,3.7751,54.25271385
1700665187.942848,3.9558,54.25271385
1700665188.947628,3.9618,54.25271385
1700665189.95221,4.0381,54.25271385
1700665190.956758,4.0405,54.25271385
1700665191.961441,3.9463,54.25271385
1700665193.024617,3.9242,54.25271385
1700665194.029164,4.0301,54.25271385
1700665195.033689,4.0077,54.25271385
1700665196.038175,3.9261,54.25271385
1700665197.043678,3.8625,54.25271385
1700665198.049435,3.8472,54.25271385
1700665199.054069,3.8419,54.25271385
1700665200.058811,3.8255,54.25271385
1700665201.063451,3.7587,54.25271385
1700665202.108166,3.8519,54.25271385
1700665203.112988,3.9567,54.25271385
1700665204.117565,4.0324,54.25271385
1700665205.1221,4.0585,54.25271385
1700665206.12671,3.9924,54.25271385
1700665207.131235,3.877,54.25271385
1700665208.135799,3.8544,54.25271385
1700665209.140369,3.8596,54.25271385
1700665210.14574,3.8391,54.25271385
1700665211.15138,3.8147,54.25271385
1700665212.156125,3.7424,54.25271385
1700665213.160295,3.902,54.25271385
1700665214.164289,3.9409,54.25271385
1700665215.221614,3.8313,54.25271385
1700665216.226173,3.803,54.25271385
1700665217.230702,3.9576,54.25271385
1700665218.23527,3.9713,54.25271385
1700665219.239819,4.0579,54.25271385
1700665220.244392,4.0116,54.25271385
1700665221.248938,3.9296,54.25271385
1700665222.254524,3.8804,54.25271385
1700665223.259775,3.8478,54.25271385
1700665224.26433,3.8517,54.25271385
