layer,top1,top5
0,0.6,0.83
1,0.6,0.84
2,0.6,0.83
3,0.6,0.83
4,0.6,0.83
5,0.6,0.83
6,0.6,0.83
7,0.6,0.83
8,0.6,0.83
9,0.6,0.83
10,0.6,0.83
11,0.6,0.84
12,0.6,0.84
13,0.6,0.84
14,0.6,0.84
15,0.6,0.84
16,0.6,0.84
17,0.59,0.84
18,0.59,0.84
19,0.59,0.84
20,0.59,0.84
21,0.59,0.84
22,0.59,0.84
