layer,top1,top5
0,0.59,0.84
1,0.58,0.83
2,0.59,0.82
3,0.59,0.81
4,0.6,0.81
5,0.63,0.82
6,0.59,0.82
7,0.59,0.83
8,0.59,0.81
9,0.59,0.84
10,0.59,0.84
11,0.59,0.84
12,0.58,0.81
13,0.59,0.83
14,0.61,0.83
15,0.6,0.81
16,0.58,0.82
17,0.58,0.83
18,0.58,0.8
19,0.58,0.8
20,0.59,0.83
21,0.59,0.82
22,0.59,0.84
