layer,img,client,server,network,total
1,16,87.396174,373.9545,61.745439,523.096113
1,17,87.016271,383.5653,56.636328,527.217899
1,18,86.927679,410.7633,52.473438,550.164417
1,19,87.283175,394.7793,52.441119,534.503594
1,20,86.905124,398.673,51.47346,537.051584
1,21,87.67493,371.9325,52.998747,512.606177
1,22,87.683245,382.7776,52.516862,522.977707
1,23,87.532821,393.2023,56.893845,537.628966
1,24,117.961975,395.6186,51.392248,564.972823
1,25,87.643559,408.3611,52.201093,548.205752
1,26,87.539487,382.1026,52.04682,521.688907
1,27,86.711867,376.3689,55.109273,518.19004
1,28,87.284026,383.0895,50.882385,521.255911
1,29,87.426044,399.6044,53.061773,540.092217
1,30,87.678134,386.8595,56.919755,531.457389
1,31,86.442647,389.3157,52.603984,528.362331
1,32,87.0654,406.4545,59.918331,553.438231
1,33,86.681627,391.729,51.860775,530.271402
1,34,149.03077,384.0746,51.470285,584.575655
1,35,87.17575,398.7569,51.61052,537.54317
1,36,87.654875,407.1281,58.232761,553.015736
1,37,83.724752,494.4903,49.491983,627.707035
1,38,63.697295,385.2053,60.126308,509.028903
1,39,87.178621,408.6335,52.829165,548.641286
1,40,83.360738,437.3915,47.815914,568.568152
1,41,63.390335,392.8049,55.064049,511.259284
1,42,83.31348,392.7272,48.214921,524.255601
1,43,62.756046,391.8965,45.003925,499.656471
1,44,121.070773,374.8697,53.104327,549.0448
1,45,64.047531,395.3254,43.4048,502.777731
1,46,62.755583,386.1308,50.381315,499.267698
1,47,86.792792,382.6386,51.789372,521.220764
1,48,86.740218,412.2749,55.697173,554.712291
1,49,86.449092,381.206,50.781629,518.436721
1,50,87.076862,382.2671,57.595513,526.939475
1,51,86.657535,416.0046,53.700212,556.362347
1,52,87.133103,385.7723,52.619089,525.524492
1,53,86.616238,385.4572,51.939757,524.013195
1,54,143.171632,383.9709,61.189727,588.332259
1,55,86.583887,394.0721,52.295125,532.951112
1,56,86.872457,385.1269,61.210752,533.210109
1,57,86.484888,395.4468,52.144318,534.076006
1,58,86.794477,393.9558,52.705367,533.455644
1,59,86.50498,396.9126,59.288698,542.706278
1,60,86.728903,402.5787,51.819249,541.126852
1,61,87.25949,385.8904,53.376147,526.526037
1,62,86.990216,378.3405,61.353282,526.683998
1,63,86.723107,391.5421,52.864314,531.129521
1,64,129.906802,398.5959,63.106799,591.609501
1,65,87.492506,383.8383,56.964377,528.295183
1,66,86.913753,387.5478,54.493678,528.955231
1,67,86.914142,400.0786,51.546788,538.53953
1,68,86.991197,435.4192,52.373795,574.784192
1,69,86.411259,401.6481,50.733186,538.792545
1,70,86.900069,385.4305,57.018233,529.348802
1,71,87.428211,384.8793,58.735882,531.043393
1,72,87.013455,388.4803,52.005473,527.499228
1,73,87.759114,407.6466,50.945504,546.351218
1,74,117.294056,403.4325,50.988504,571.71506
1,75,86.585795,386.271,58.109877,530.966672
1,76,87.194639,384.7239,60.713799,532.632338
1,77,86.564887,474.4922,57.079964,618.137051
1,78,86.156299,457.5632,59.543147,603.262646
1,79,61.863056,411.8317,47.028772,520.723528
1,80,86.592572,393.2774,55.10645,534.976422
1,81,85.931006,394.5805,50.732478,531.243984
1,82,82.898929,386.1393,47.302053,516.340282
1,83,63.560518,381.631,46.716114,491.907632
1,84,112.790774,414.6261,57.220965,584.637839
1,85,87.379674,452.0185,54.889129,594.287303
1,86,82.081512,391.5921,48.18096,521.854572
1,87,84.90822,422.2146,61.178556,568.301376
1,88,86.905402,412.7385,62.369473,562.013375
1,89,86.528128,393.3224,57.110982,536.96151
1,90,86.365482,385.5924,59.758781,531.716663
1,91,86.80231,408.6133,53.062474,548.478084
1,92,86.586016,413.3,50.9098,550.795816
1,93,86.239613,414.1434,61.409141,561.792154
1,94,144.456489,374.901,59.145587,578.503076
1,95,85.761489,392.3737,50.792117,528.927306
1,96,86.656312,384.7537,62.603977,534.013989
1,97,86.463647,393.8155,50.67471,530.953857
1,98,86.76057,405.8613,53.420871,546.042741
1,99,87.270693,409.5457,51.164159,547.980552
2,0,370.480161,688.1763,47.991929,1106.64839
2,1,291.209284,357.7672,59.811426,708.78791
2,2,290.957268,342.626,44.730452,678.31372
2,3,291.131766,349.2541,46.307702,686.693568
2,4,313.847749,334.0319,52.74352,700.623169
2,5,314.017933,357.9831,53.777,725.778033
2,6,314.824479,339.5364,51.683007,706.043886
2,7,373.46635,339.6423,61.869472,774.978122
2,8,314.582056,348.4012,51.99277,714.976026
2,9,313.879767,334.5841,52.751517,701.215384
2,10,291.065046,328.3668,42.133787,661.565633
2,11,313.05085,357.7759,53.781313,724.608063
2,12,313.360254,342.8861,55.407115,711.653469
2,13,313.2902,347.3352,60.752349,721.377749
2,14,337.563572,348.737,50.564315,736.864887
2,15,314.584796,330.2721,53.711519,698.568415
2,16,291.007287,335.8697,42.236134,669.113121
2,17,314.432261,332.9394,51.366179,698.73784
2,18,291.340319,357.5263,50.732673,699.599292
2,19,313.764213,355.6657,50.57974,720.009653
2,20,290.73603,336.2195,48.025524,674.981054
2,21,290.166388,326.8825,46.516832,663.56572
2,22,373.797327,336.8164,60.479975,771.093702
2,23,314.315966,384.2977,49.932922,748.546588
2,24,290.713993,394.9372,42.390184,728.041377
2,25,313.331033,331.6773,52.220246,697.228579
2,26,313.59727,323.8818,52.04304,689.52211
2,27,290.475422,360.43,41.909299,692.814721
2,28,291.326542,476.7805,44.235155,812.342197
2,29,349.458919,346.8819,61.292425,757.633244
2,30,290.742826,365.6086,45.59545,701.946876
2,31,290.048389,365.0219,44.861239,699.931528
2,32,314.229949,351.2792,63.084055,728.593204
2,33,313.998266,347.1143,51.806631,712.919197
2,34,291.097026,427.1331,46.245503,764.475629
2,35,289.779078,334.2209,44.382113,668.382091
2,36,347.476682,371.188,60.305172,778.969854
2,37,313.199479,351.6096,50.616626,715.425705
2,38,290.771011,349.8143,56.43927,697.024581
2,39,303.800807,370.5062,51.859001,726.166008
2,40,314.204727,345.4408,58.299483,717.94501
2,41,291.283468,362.7064,42.887362,696.87723
2,42,290.686753,339.02,44.352256,674.059009
2,43,360.753605,354.7003,51.264976,766.718881
2,44,313.977414,341.6813,51.601009,707.259723
2,45,289.696375,334.079,43.116714,666.892089
2,46,289.661394,360.5739,46.81462,697.049914
2,47,313.704121,357.2368,51.472668,722.413589
2,48,313.987969,329.5403,51.776275,695.304544
2,49,290.365831,372.076,44.561415,707.003246
2,50,333.461952,352.1037,53.396934,738.962586
2,51,313.37444,351.5646,51.30973,716.24877
2,52,312.793113,338.3869,52.361754,703.541767
2,53,289.719486,337.1667,47.140508,674.026694
2,54,304.600373,353.0715,57.602093,715.273966
2,55,313.378162,332.1546,59.287526,704.820288
2,56,290.008076,359.2097,50.313351,699.531127
2,57,304.048582,352.7963,51.818325,708.663207
2,58,376.444315,337.1155,51.543973,765.103788
2,59,290.92738,343.3046,42.106465,676.338445
2,60,290.633901,339.483,44.860541,674.977442
2,61,313.804564,349.087,51.578207,714.469771
2,62,290.778733,351.3577,43.862624,685.999057
2,63,290.277906,349.8685,45.435749,685.582155
2,64,313.899063,341.0302,59.745784,714.675047
2,65,354.983059,335.1685,53.279772,743.431331
2,66,290.848436,332.3201,43.322965,666.491501
2,67,290.250388,343.7323,45.03569,679.018378
2,68,313.330977,373.4378,51.457335,738.226112
2,69,313.897693,368.8038,51.875568,734.577061
2,70,309.937238,525.3067,62.109644,897.353582
2,71,290.289961,369.1936,52.086355,711.569916
2,72,353.517595,344.1361,58.838654,756.492349
2,73,313.28857,341.3794,53.585075,708.253045
2,74,308.575216,351.4734,48.798996,708.847612
2,75,289.990724,356.8895,50.956755,697.836979
2,76,314.024802,357.1697,50.737036,721.931538
2,77,313.063517,357.1701,51.485146,721.718763
2,78,310.067959,351.7578,50.739127,712.564886
2,79,324.874198,457.8105,92.506859,875.191557
2,80,313.796824,376.5359,51.375312,741.708036
2,81,313.341236,347.1037,51.169163,711.614099
2,82,309.718073,356.6748,48.832333,715.225206
2,83,290.965397,362.075,53.060153,706.10055
2,84,290.458441,374.4888,78.921529,743.86877
2,85,291.175192,340.5811,45.83012,677.586412
2,86,363.507352,336.6461,52.028391,752.181843
2,87,291.608446,337.6651,43.889528,673.163074
2,88,290.862121,345.3318,48.493466,684.687387
2,89,314.07108,343.6987,60.028287,717.798067
2,90,290.708474,331.7647,47.230882,669.704056
2,91,303.856047,349.1732,50.963272,703.992519
2,92,313.737046,362.2655,51.044841,727.047387
2,93,297.037921,334.0789,48.621881,679.738702
2,94,322.571983,331.2403,45.057573,698.869856
2,95,313.479938,358.7723,51.911182,724.16342
2,96,290.293183,332.2635,50.261154,672.817837
2,97,290.638438,344.9486,53.551261,689.138299
2,98,313.672991,346.2511,59.750454,719.674545
2,99,289.495044,345.0835,42.959054,677.537598
3,0,299.364358,609.4263,23.125698,931.916356
3,1,286.480134,288.1857,13.292116,587.95795
3,2,283.148764,294.3513,13.274816,590.77488
3,3,283.365743,294.7289,24.454621,602.549264
3,4,283.410002,411.7165,10.201946,705.328448
3,5,283.023044,290.4511,10.734496,584.20864
3,6,283.184912,327.5719,16.880779,627.637591
3,7,283.044673,329.0963,24.603681,636.744654
3,8,282.5714,539.2744,11.203216,833.049016
3,9,283.289022,335.4018,26.121777,644.812599
3,10,283.271763,307.9811,11.316309,602.569172
3,11,282.794213,308.3904,10.519069,601.703682
3,12,284.06555,296.4503,13.396995,593.912845
3,13,310.798209,305.0257,10.363087,626.186996
3,14,283.514446,316.5638,20.874051,620.952297
3,15,283.208763,313.2226,12.119259,608.550622
3,16,282.836083,306.2194,10.227449,599.282932
3,17,282.626604,297.0023,10.192432,589.821336
3,18,283.051173,317.0396,10.33131,610.422083
3,19,283.18106,294.0674,11.527239,588.775699
3,20,282.442124,333.6575,10.292166,626.39179
3,21,322.928627,303.5574,13.200575,639.686602
3,22,283.303262,300.3612,13.066813,596.731275
3,23,283.086357,302.5833,10.374385,596.044042
3,24,283.134579,322.892,10.039699,616.066278
3,25,283.266503,318.7277,10.651668,612.645871
3,26,283.915848,328.0819,12.076902,624.07465
3,27,283.929293,294.2365,19.219569,597.385362
3,28,283.419464,310.2402,12.819184,606.478848
3,29,282.829508,313.7143,10.62483,607.168638
3,30,344.49079,326.1618,17.684756,688.337346
3,31,283.153042,295.2244,21.968144,600.345586
3,32,282.940193,300.0387,10.283941,593.262834
3,33,282.21196,310.6318,10.232147,603.075907
3,34,283.243578,306.0207,11.445212,600.70949
3,35,282.995266,304.7134,11.515618,599.224284
3,36,283.005155,314.2789,12.720273,610.004328
3,37,283.069987,312.0681,12.170938,607.309025
3,38,329.560663,310.2857,24.836844,664.683207
3,39,283.297707,302.1357,10.238343,595.67175
3,40,282.778935,309.4077,10.350371,602.537006
3,41,283.105691,310.4684,39.993748,633.567839
3,42,283.135709,304.0089,10.689673,597.834282
3,43,283.560111,312.3083,21.487204,617.355615
3,44,282.965155,320.7018,10.008664,613.675619
3,45,282.74838,360.953,10.309948,654.011328
3,46,282.965822,429.7204,10.906427,723.592649
3,47,321.335589,321.5251,10.293148,653.153837
3,48,283.811294,367.3591,10.194721,661.365115
3,49,283.035932,365.6019,10.708732,659.346564
3,50,282.524586,336.2606,29.130656,647.915842
3,51,283.097653,311.9111,20.655806,615.664559
